# time ess z_mean
1609060334.984543800 0.000000000 0.000000000
1609060334.985276461 0.000000000 0.000000000
1609060335.009541035 0.000000000 0.000000000
1609060335.010314226 0.000000000 0.000000000
1609060335.034309864 0.000000000 0.000000000
1609060335.035263062 0.000000000 0.000000000
1609060335.059491634 0.000000000 0.000000000
1609060335.060302973 0.000000000 0.000000000
1609060335.084662676 0.000000000 0.000000000
1609060335.134334564 0.000000000 0.000000000
1609060335.134765148 0.000000000 0.000000000
1609060335.160244703 0.000000000 0.000000000
1609060335.184501410 0.000000000 0.000000000
1609060335.185391903 0.000000000 0.000000000
1609060335.209653378 0.000000000 0.000000000
1609060335.210299253 0.000000000 0.000000000
1609060335.234525681 0.000000000 0.000000000
1609060335.235270023 0.000000000 0.000000000
1609060335.259555817 0.000000000 0.000000000
1609060335.259768009 0.000000000 0.000000000
1609060335.309292555 0.000000000 0.000000000
1609060335.309743166 0.000000000 0.000000000
1609060335.335212946 0.000000000 0.000000000
1609060335.359487057 0.000000000 0.000000000
1609060335.360263109 0.000000000 0.000000000
1609060335.384567976 0.000000000 0.000000000
1609060335.385275841 0.000000000 0.000000000
1609060335.409524202 0.000000000 0.000000000
1609060335.410343409 0.000000000 0.000000000
1609060335.434520721 0.000000000 0.000000000
1609060335.435257673 0.000000000 0.000000000
1609060335.484271049 0.000000000 0.000000000
1609060335.484766960 0.000000000 0.000000000
1609060335.509534121 0.000000000 0.000000000
1609060335.510228872 0.000000000 0.000000000
1609060335.534517050 0.000000000 0.000000000
1609060335.535279512 0.000000000 0.000000000
1609060335.559543848 0.000000000 0.000000000
1609060335.560288906 0.000000000 0.000000000
1609060335.584553242 0.000000000 0.000000000
1609060335.585319757 0.000000000 0.000000000
1609060335.609513044 0.000000000 0.000000000
1609060335.609725714 0.000000000 0.000000000
1609060335.659482956 0.000000000 0.000000000
1609060335.659716606 0.000000000 0.000000000
1609060335.684583902 0.000000000 0.000000000
1609060335.685230732 0.000000000 0.000000000
1609060335.709486008 0.000000000 0.000000000
1609060335.710251093 0.000000000 0.000000000
1609060335.734561682 0.000000000 0.000000000
1609060335.735289097 0.000000000 0.000000000
1609060335.759473085 0.000000000 0.000000000
1609060335.760180712 0.000000000 0.000000000
1609060335.784540415 0.000000000 0.000000000
1609060335.834474325 0.000000000 0.000000000
1609060335.834742546 0.000000000 0.000000000
1609060335.860176802 0.000000000 0.000000000
1609060335.884517193 0.000000000 0.000000000
1609060335.885298252 0.000000000 0.000000000
1609060335.909567833 0.000000000 0.000000000
1609060335.910239935 0.000000000 0.000000000
1609060335.934558392 0.000000000 0.000000000
1609060335.935245037 0.000000000 0.000000000
1609060335.959504128 0.000000000 0.000000000
1609060336.009263754 0.000000000 0.000000000
1609060336.009724617 0.000000000 0.000000000
1609060336.035189152 0.000000000 0.000000000
1609060336.059474945 0.000000000 0.000000000
1609060336.060239792 0.000000000 0.000000000
1609060336.084522486 0.000000000 0.000000000
1609060336.085274696 0.000000000 0.000000000
1609060336.109476089 0.000000000 0.000000000
1609060336.110227823 0.000000000 0.000000000
1609060336.134469509 0.000000000 0.000000000
1609060336.184304714 0.000000000 0.000000000
1609060336.184798479 0.000000000 0.000000000
1609060336.209475040 0.000000000 0.000000000
1609060336.210193396 0.000000000 0.000000000
1609060336.234522104 0.000000000 0.000000000
1609060336.235270739 0.000000000 0.000000000
1609060336.259274244 0.000000000 0.000000000
1609060336.260318995 0.000000000 0.000000000
1609060336.284510136 0.000000000 0.000000000
1609060336.285259485 0.000000000 0.000000000
1609060336.309500933 0.000000000 0.000000000
1609060336.309747696 0.000000000 0.000000000
1609060336.359470606 0.000000000 0.000000000
1609060336.359732866 0.000000000 0.000000000
1609060336.384512663 0.000000000 0.000000000
1609060336.385217905 0.000000000 0.000000000
1609060336.409466743 0.000000000 0.000000000
1609060336.410212517 0.000000000 0.000000000
1609060336.434548616 0.000000000 0.000000000
1609060336.435197115 0.000000000 0.000000000
1609060336.459498405 0.000000000 0.000000000
1609060336.460260868 0.000000000 0.000000000
1609060336.484573364 0.000000000 0.000000000
1609060336.534277916 0.000000000 0.000000000
1609060336.534723043 0.000000000 0.000000000
1609060336.560175419 0.000000000 0.000000000
1609060336.584530830 0.000000000 0.000000000
1609060336.585281610 0.000000000 0.000000000
1609060336.609578609 0.000000000 0.000000000
1609060336.610268116 0.000000000 0.000000000
1609060336.634471655 0.000000000 0.000000000
1609060336.635212421 0.000000000 0.000000000
1609060336.659500599 0.000000000 0.000000000
1609060336.659756899 0.000000000 0.000000000
1609060336.709268808 0.000000000 0.000000000
1609060336.709772825 0.000000000 0.000000000
1609060336.735168934 0.000000000 0.000000000
1609060336.759499073 0.000000000 0.000000000
1609060336.760179996 0.000000000 0.000000000
