timestamp,range,from_id,to_id,std
1609060334.784330845,29.042000,2000,100,0.055000
1609060334.784904718,12.750000,2010,101,0.129000
1609060334.810248137,12.530000,2011,102,0.055000
1609060334.834573030,11.832000,2000,102,0.055000
1609060334.835247755,28.268000,2010,100,0.055000
1609060334.859611750,28.129000,2001,100,0.055000
1609060334.860257864,12.852000,2011,101,0.055000
1609060334.884485960,12.936000,2000,101,0.024000
1609060334.885257959,12.467000,2010,102,0.056000
1609060334.909576654,11.646000,2001,102,0.024000
1609060334.910318851,29.139000,2011,100,0.055000
1609060334.959558010,29.013000,2000,100,0.055000
1609060334.959800720,12.778000,2010,101,0.129000
1609060334.984543800,12.542000,2001,101,10.536000
1609060334.985276461,12.576000,2011,102,0.055000
1609060335.009541035,11.790000,2000,102,0.055000
1609060335.010314226,28.270000,2010,100,0.055000
1609060335.034309864,28.083000,2001,100,0.055000
1609060335.035263062,12.840000,2011,101,0.024000
1609060335.059491634,12.939000,2000,101,0.055000
1609060335.060302973,12.497000,2010,102,0.056000
1609060335.084662676,11.654000,2001,102,0.056000
1609060335.134334564,29.011999,2000,100,0.055000
1609060335.134765148,13.124000,2010,101,0.268000
1609060335.160244703,12.575000,2011,102,0.024000
1609060335.184501410,11.821000,2000,102,0.055000
1609060335.185391903,28.271999,2010,100,0.055000
1609060335.209653378,28.129000,2001,100,0.024000
1609060335.210299253,12.844000,2011,101,0.055000
1609060335.234525681,12.939000,2000,101,0.055000
1609060335.235270023,12.459000,2010,102,0.056000
1609060335.259555817,11.572000,2001,102,0.055000
1609060335.259768009,28.631001,2011,100,0.268000
1609060335.309292555,29.006001,2000,100,0.055000
1609060335.309743166,12.746000,2010,101,0.129000
1609060335.335212946,12.567000,2011,102,0.024000
1609060335.359487057,11.822000,2000,102,0.055000
1609060335.360263109,28.275000,2010,100,0.024000
1609060335.384567976,28.129999,2001,100,0.055000
1609060335.385275841,12.808000,2011,101,0.024000
1609060335.409524202,12.935000,2000,101,0.055000
1609060335.410343409,12.426000,2010,102,0.056000
1609060335.434520721,11.676000,2001,102,0.024000
1609060335.435257673,29.129999,2011,100,0.055000
1609060335.484271049,29.040001,2000,100,0.055000
1609060335.484766960,13.146000,2010,101,0.268000
1609060335.509534121,13.406000,2001,101,0.056000
1609060335.510228872,12.567000,2011,102,0.055000
1609060335.534517050,11.784000,2000,102,0.055000
1609060335.535279512,28.268999,2010,100,0.055000
1609060335.559543848,28.127001,2001,100,0.055000
1609060335.560288906,12.844000,2011,101,0.055000
1609060335.584553242,12.935000,2000,101,0.055000
1609060335.585319757,12.461000,2010,102,0.056000
1609060335.609513044,11.687000,2001,102,0.055000
1609060335.609725714,28.632999,2011,100,0.268000
1609060335.659482956,28.976999,2000,100,0.055000
1609060335.659716606,12.701000,2010,101,0.129000
1609060335.684583902,12.613000,2001,101,10.536000
1609060335.685230732,12.604000,2011,102,0.055000
1609060335.709486008,11.889000,2000,102,0.024000
1609060335.710251093,28.228001,2010,100,0.055000
1609060335.734561682,28.128000,2001,100,0.055000
1609060335.735289097,12.847000,2011,101,0.055000
1609060335.759473085,12.937000,2000,101,0.055000
1609060335.760180712,12.405000,2010,102,0.056000
1609060335.784540415,11.685000,2001,102,0.055000
1609060335.834474325,28.980000,2000,100,0.055000
1609060335.834742546,12.690000,2010,101,0.129000
1609060335.860176802,12.579000,2011,102,0.055000
1609060335.884517193,11.823000,2000,102,0.055000
1609060335.885298252,28.193001,2010,100,0.055000
1609060335.909567833,28.125999,2001,100,0.024000
1609060335.910239935,12.845000,2011,101,0.055000
1609060335.934558392,12.937000,2000,101,0.024000
1609060335.935245037,12.459000,2010,102,0.056000
1609060335.959504128,11.681000,2001,102,0.024000
1609060336.009263754,29.042000,2000,100,0.055000
1609060336.009724617,13.155000,2010,101,0.268000
1609060336.035189152,12.577000,2011,102,0.055000
1609060336.059474945,11.821000,2000,102,0.024000
1609060336.060239792,28.268999,2010,100,0.055000
1609060336.084522486,28.132999,2001,100,0.055000
1609060336.085274696,12.842000,2011,101,0.055000
1609060336.109476089,12.938000,2000,101,0.055000
1609060336.110227823,12.460000,2010,102,0.055000
1609060336.134469509,11.650000,2001,102,0.055000
1609060336.184304714,28.971001,2000,100,0.055000
1609060336.184798479,12.748000,2010,101,0.129000
1609060336.209475040,12.815000,2001,101,10.536000
1609060336.210193396,12.547000,2011,102,0.055000
1609060336.234522104,11.790000,2000,102,0.055000
1609060336.235270739,28.268999,2010,100,0.055000
1609060336.259274244,28.042000,2001,100,0.055000
1609060336.260318995,12.843000,2011,101,0.055000
