my_id,from_id,to_id,rx1,rx2,rx3,fpp1,fpp2,fpp3,skew1,skew2,skew3,fpp1_n,fpp2_n,skew1_n,skew2_n,rx1_raw,rx2_raw,rx3_raw,std,timestamp,tx1_n,rx1_n,tx2_n,rx2_n,tx3_n,rx3_n,range_n,bias_n,tx1_raw_n,rx1_raw_n,tx2_raw_n,rx2_raw_n,tx3_raw_n,rx3_raw_n,range_raw_n,bias_raw_n,gt_range_n,timestamp_n
10,11,3,91082090.56368735,91388128.89195678,92926848.17434044,-81.3062973022461,-81.97779846191406,-82.54920196533203,0.3185000121593475,-0.1816000044345855,0.79339998960495,-81.88610076904297,-81.97869873046875,-0.7179999947547913,0.2373999953269958,91082090.57930188,91388129.03771034,92926848.41058192,0.1535937734934868,0.2744786739349365,23477909.545678284,23968367.67386245,24274375.913096342,23783950.16307744,25813093.86181429,25322668.44468277,4.841988836521529,0.1136169787145346,23477909.46764824,23968367.826021638,24274375.81380208,23783950.30486278,25813093.76252003,25322668.61353165,4.911799907684326,0.1834280498773317,4.728371857806994,0.26915502548217773
10,11,0,102081654.7266929,102387168.529134,103925894.0105412,-80.83670043945312,-83.09369659423828,-84.5740966796875,0.4740000069141388,5.375500202178955,4.836299896240234,-83.08000183105469,-82.48680114746094,-4.800000190734863,4.206699848175049,102081654.6474359,102387168.8295022,103925894.38413964,0.1784822345498957,0.29523491859436035,34477468.84055008,23485586.60809722,23791066.526960477,34782983.62893019,25329784.47567842,36321708.552756496,5.0177334121856605,-0.0146780926506853,34477468.76252003,23485586.813902244,23791066.51893029,34782983.85228866,25329784.46764824,36321708.68702424,5.097499847412109,0.0650883425757635,5.032411504836346,0.2839651107788086
10,11,1,186079529.3555228,186385371.38775107,187924093.46518293,-81.00389862060547,-79.66680145263672,-80.42949676513672,0.3817999958992004,3.0155999660491943,2.9233999252319336,-88.6521987915039,-86.30049896240234,-2.6765999794006348,2.309600114822388,186079529.30939505,186385371.2033003,187924093.3149289,0.0680367131800612,0.37434911727905273,118475305.37901162,64223709.40339102,64529528.13653336,118781148.97693992,66068246.0852513,120319870.35160203,3.6239856367213057,-0.0918995297521605,118475305.30098157,64223709.60724659,64529528.05739183,118781149.30764222,66068246.006109774,120319870.68371896,3.72760009765625,0.0117149311827837,3.715885166473466,0.3672165870666504
10,11,5,216078725.6244087,216382784.4858313,217921508.8377597,-80.63510131835938,-83.43090057373047,-84.90229797363281,0.4023000001907348,2.997900009155273,4.446100234985352,-82.02259826660156,-82.91020202636719,-3.9077999591827393,3.698199987411499,216078725.50768727,216382784.81507915,217921509.2116136,0.1802282713351475,0.40241146087646484,148474488.0713193,49731030.2013896,50035057.22811902,148778547.1644459,51573775.176836975,150317270.33949566,4.650447603075959,0.050500606306497,148474487.99328926,49731030.6646885,50035056.90354567,148778547.44153145,51573774.85226362,150317270.9303636,4.812399864196777,0.2124528674273156,4.599946996769462,0.39626574516296387
10,11,2,233078123.7937061,233382136.6854889,234920864.4894533,-81.38929748535156,-80.91570281982422,-81.39849853515625,0.3510999977588653,5.9045000076293945,6.550899982452393,-83.35900115966797,-83.50910186767578,-6.626299858093262,5.908299922943115,233078123.82624695,233382136.62171975,234920864.5238632,0.1154940490520355,0.42861056327819824,165473879.09696034,33441676.25836092,33745657.95159946,165777894.12857115,35284375.90031741,167316621.36261347,4.720915779874164,-0.0615061095495912,165473879.0189303,33441676.588792067,33745657.865084134,165777894.4592598,35284375.813802086,167316621.70410156,4.844299793243408,0.0618779038196528,4.782421889423755,0.41144800186157227
10,11,3,242078023.6630434,242384709.94352436,243923428.87627187,-81.39769744873047,-81.14700317382812,-81.783203125,0.5392000079154968,1.097000002861023,0.9833999872207642,-82.21640014648438,-82.14669799804688,-1.01419997215271,0.6258000135421753,242078023.69729063,242384709.9265074,243923428.9863782,0.1279194994023028,0.4332907199859619,174473774.93029368,40531334.36359418,40837989.695147626,174780462.63227862,42376707.64386557,176319181.0547343,4.836602551242,0.1081090186531117,174473774.85226363,40531334.572816506,40837989.595853366,174780462.80298477,42376707.54457131,176319181.252504,4.9191999435424805,0.1907064109535925,4.728493532588888,0.42355823516845703
10,11,0,260077543.71992967,260383434.929375,261922160.157983,-80.62259674072266,-82.95130157470703,-83.68219757080078,0.1098000034689903,4.135000228881836,5.038400173187256,-82.87670135498047,-82.20330047607422,-4.5625,4.388299942016602,260077543.60101163,260383435.21509412,261922160.50368088,0.1665960116418814,0.44539666175842285,192473286.1482424,47047868.937615216,47353726.783370726,192779178.7719164,48892444.73208868,194317903.5861925,5.007013696160704,-0.0254280212624902,192473286.07021236,47047869.12184496,47353726.77534054,192779178.9519481,48892444.724058494,194317903.6771334,5.077099800109863,0.0446580826866691,5.032441717423194,0.4375481605529785
10,11,4,357074926.77840054,357378871.7909379,358917593.47107136,-80.55699920654297,-84.5374984741211,-86.29060363769531,0.6657999753952026,2.59089994430542,2.4567999839782715,-80.7948989868164,-81.61280059814453,-2.693300008773804,1.5627000331878662,357074926.6482622,357378872.1642127,358917593.8063401,0.1912411469760982,0.5404510498046875,289470625.8918322,58435476.17403096,58739399.94829692,289774571.8199998,60278117.89701487,291313292.76626223,3.231068297527777,0.0399212436064724,289470625.8138021,58435476.10551883,58739399.85226362,289774571.8931541,60278117.80098157,291313292.8623297,3.2571001052856445,0.0659530513643398,3.1911470539213047,0.5355911254882812
10,11,1,367074658.5112828,367380571.1643832,368919293.4548159,-80.70189666748047,-80.7573013305664,-80.33300018310547,0.9490000009536744,2.937299966812134,2.8441998958587646,-87.21289825439453,-87.15660095214844,-2.4883999824523926,1.809499979019165,367074658.4065755,367380571.0699619,368919293.2911408,0.0782293535845878,0.5644810199737549,299470353.4559347,43569103.21693897,43874992.8801231,299776267.6314685,45413710.828841045,301314989.2095811,3.5650882100002588,-0.1506977209736328,299470353.37790465,43569103.50310497,43874992.80098157,299776267.9192959,45413710.74969952,301314989.4988231,3.674599885940552,-0.0411860450333394,3.715785930973892,0.5452368259429932
10,11,5,398073823.14227104,398378497.0616524,399917221.4308498,-81.02960205078125,-83.69989776611328,-84.86820220947266,0.5056999921798706,5.043099880218506,4.140600204467773,-82.39649963378906,-82.52459716796875,-3.794199943542481,3.423500061035156,398073823.10133713,398378497.4083533,399917221.8048878,0.1870299536410365,0.5974504947662354,330469504.0969604,30076104.33756252,30380746.330683127,330774178.1598511,31919464.27940108,332312901.38185096,4.649247111151984,0.0493578625659409,330469504.0189303,30076104.861528445,30380746.00610977,330774178.3885467,31919463.95482773,332312901.9243289,4.813000202178955,0.2131109535929125,4.5998892485860425,0.5777993202209473
