timestamp,range,from_id,to_id,std
1609059013.127379894,11.877000,2011,102,0.055000
1609059013.151643991,11.328000,2000,102,0.055000
1609059013.152403593,28.483000,2010,100,0.055000
1609059013.176432133,28.495001,2001,100,0.055000
1609059013.177447081,12.731000,2011,101,0.055000
1609059013.201693773,12.821000,2000,101,0.055000
1609059013.202409983,11.547000,2010,102,0.055000
1609059013.226213932,10.584000,2001,102,0.129000
1609059013.226969004,28.823000,2011,100,0.268000
1609059013.276693583,29.444000,2000,100,0.055000
1609059013.277481079,13.620000,2010,101,0.055000
1609059013.301214218,13.078000,2001,101,0.268000
1609059013.302429199,11.877000,2011,102,0.055000
1609059013.326694250,11.287000,2000,102,0.055000
1609059013.328027964,28.481001,2010,100,0.055000
1609059013.351470232,28.492001,2001,100,0.024000
1609059013.352427006,12.728000,2011,101,0.055000
1609059013.376681566,12.818000,2000,101,0.024000
1609059013.377373934,11.542000,2010,102,0.055000
1609059013.401241302,10.882000,2001,102,0.129000
1609059013.401954412,28.841999,2011,100,0.268000
1609059013.451690674,29.441000,2000,100,0.024000
1609059013.452510834,13.620000,2010,101,0.055000
1609059013.478341103,11.912000,2011,102,0.055000
1609059013.501637697,11.291000,2000,102,0.055000
1609059013.502452850,28.479000,2010,100,0.024000
1609059013.526731730,28.520000,2001,100,0.055000
1609059013.527410507,12.704000,2011,101,0.055000
1609059013.551682234,12.826000,2000,101,0.055000
1609059013.553397179,11.511000,2010,102,0.056000
1609059013.577053547,10.851000,2001,102,0.129000
1609059013.577428102,28.816000,2011,100,0.268000
1609059013.626677513,29.410999,2000,100,0.055000
1609059013.627493620,13.619000,2010,101,0.055000
1609059013.651251078,12.646000,2001,101,0.129000
1609059013.652441740,11.882000,2011,102,0.055000
1609059013.676730633,11.288000,2000,102,0.055000
1609059013.677418947,28.514999,2010,100,0.055000
1609059013.701673508,28.448999,2001,100,0.024000
1609059013.702464104,12.692000,2011,101,0.055000
1609059013.726709843,12.820000,2000,101,0.024000
1609059013.727855444,11.515000,2010,102,0.055000
1609059013.751206160,10.791000,2001,102,0.129000
1609059013.752588749,29.309999,2011,100,0.024000
1609059013.801708221,29.441000,2000,100,0.055000
1609059013.802488804,13.621000,2010,101,0.055000
1609059013.827366114,11.905000,2011,102,0.055000
1609059013.851657391,11.287000,2000,102,0.055000
1609059013.852463961,28.476999,2010,100,0.024000
1609059013.878476620,28.447001,2001,100,0.055000
1609059013.878805161,12.694000,2011,101,0.055000
1609059013.901676416,12.820000,2000,101,0.024000
1609059013.902382851,11.546000,2010,102,0.055000
1609059013.926205158,10.675000,2001,102,0.129000
1609059013.927292585,28.693001,2011,100,0.268000
1609059013.976624250,29.448000,2000,100,0.055000
1609059013.977473259,13.586000,2010,101,0.055000
1609059014.001658678,13.728000,2001,101,0.055000
1609059014.002406120,11.875000,2011,102,0.055000
1609059014.026619196,11.326000,2000,102,0.055000
1609059014.027431965,28.476999,2010,100,0.055000
1609059014.051801682,28.535999,2001,100,0.055000
1609059014.052491665,12.703000,2011,101,0.055000
1609059014.076707125,12.816000,2000,101,0.024000
1609059014.077957392,11.551000,2010,102,0.055000
1609059014.101238728,10.893000,2001,102,0.129000
1609059014.101926565,28.799000,2011,100,0.268000
1609059014.151663780,29.444000,2000,100,0.055000
1609059014.152452946,13.613000,2010,101,0.055000
1609059014.176192760,12.585000,2001,101,0.129000
1609059014.177406549,11.830000,2011,102,0.055000
1609059014.201645374,11.282000,2000,102,0.024000
1609059014.202740192,28.440001,2010,100,0.055000
