timestamp,x,y,z
1609059060.109753847,-0.001343203,-0.000690969,-0.000003408
1609059060.163541794,-0.001387186,-0.000445199,-0.000002134
1609059060.208969831,-0.001163310,-0.000485680,-0.000102444
1609059060.260316849,-0.001093980,-0.000626658,-0.000185926
1609059060.309920788,-0.001239515,-0.000658601,-0.000070424
1609059060.361595869,-0.001302110,-0.000588701,-0.000107622
1609059060.412225008,-0.001312133,-0.000682092,-0.000244623
1609059060.460730791,-0.001200714,-0.000591825,-0.000228436
1609059060.511833906,-0.001357767,-0.000626727,-0.000104476
1609059060.561336994,-0.001307351,-0.000560949,-0.000057519
1609059060.609369993,-0.001294703,-0.000577354,-0.000098046
1609059060.661103964,-0.001320093,-0.000555171,-0.000253603
1609059060.710654974,-0.001338510,-0.000526961,-0.000187719
1609059060.761712790,-0.001213037,-0.000645776,0.000139537
1609059060.810151815,-0.001102832,-0.000550996,-0.000055540
1609059060.859998941,-0.001334659,-0.000513601,-0.000170880
1609059060.911767006,-0.001564437,-0.000683075,0.000042084
1609059060.960688829,-0.001443300,-0.000601443,0.000033440
1609059061.008704901,-0.001329417,-0.000507356,-0.000166944
1609059061.060191870,-0.001433498,-0.000687840,-0.000115095
1609059061.110757828,-0.001320507,-0.000602330,-0.000108266
1609059061.162472963,-0.001305771,-0.000572281,-0.000077337
1609059061.212311983,-0.001091859,-0.000606239,-0.000155892
1609059061.260828018,-0.001246866,-0.000643323,-0.000037739
1609059061.309517860,-0.001289827,-0.000592082,0.000092798
1609059061.363395929,-0.001450189,-0.000660672,-0.000052840
1609059061.410379887,-0.001485665,-0.000611468,-0.000153919
1609059061.459667921,-0.001433389,-0.000678923,-0.000101046
1609059061.510033846,-0.001355369,-0.000738031,-0.000064318
1609059061.559636831,-0.001321799,-0.000531497,0.000005805
1609059061.610246897,-0.001296128,-0.000578335,-0.000097978
1609059061.664760828,-0.001197429,-0.000406653,0.000062161
1609059061.709381819,-0.001234039,-0.000636183,-0.000041046
1609059061.760783911,-0.001346269,-0.000508316,0.000070613
1609059061.810316801,-0.001323775,-0.000555078,-0.000029421
1609059061.859827995,-0.001299515,-0.000567835,-0.000077418
1609059061.911971807,-0.001400068,-0.000663410,-0.000114457
1609059061.960199833,-0.001287594,-0.000578955,-0.000108713
1609059062.011066914,-0.001210230,-0.000693146,-0.000158796
1609059062.059465885,-0.001359485,-0.000738087,-0.000059705
1609059062.109427929,-0.001060541,-0.000607644,-0.000193907
1609059062.162277937,-0.001318011,-0.000492892,-0.000156983
1609059062.211674929,-0.001208788,-0.000512782,-0.000093564
1609059062.259235859,-0.001220172,-0.000488177,-0.000041447
1609059062.310269833,-0.001160311,-0.000456509,-0.000059500
1609059062.359449863,-0.001247625,-0.000487087,-0.000008347
1609059062.412459850,-0.001058958,-0.000608094,-0.000196431
1609059062.459810019,-0.001370419,-0.000479208,-0.000075353
1609059062.510324001,-0.001146233,-0.000490950,0.000089496
1609059062.561608791,-0.001354472,-0.000505433,0.000084568
1609059062.611191988,-0.001092124,-0.000324482,-0.000147362
1609059062.659429789,-0.000938979,-0.000467285,-0.000109680
1609059062.711290836,-0.000822131,-0.000201802,-0.000040993
1609059062.759840012,-0.000471430,-0.000201445,-0.000001449
1609059062.808787823,-0.000746989,-0.000166117,-0.000070116
1609059062.862607002,-0.000492086,-0.000257465,-0.000066899
1609059062.909631014,-0.000668305,-0.000232854,-0.000046273
1609059062.961690903,-0.000954081,-0.000129159,0.000225240
1609059063.011700869,-0.000746552,-0.000192669,0.000107003
1609059063.060078859,-0.001027548,-0.000430630,0.000049779
1609059063.111757994,-0.000806753,-0.000290000,0.000021064
1609059063.166827917,-0.001253921,-0.000645102,-0.000032507
1609059063.208820820,-0.000718018,-0.000671802,-0.000027754
1609059063.259768963,-0.001197717,-0.000188280,0.000189792
1609059063.309747934,-0.001814962,-0.000632256,0.000189280
