timestamp,x,y,z
1609059636.812099934,-0.000386770,-0.000023325,-0.000026052
1609059636.861403942,-0.000259253,-0.000222152,-0.000049024
1609059636.910773993,-0.000249160,0.000068532,-0.000041523
1609059636.960119963,-0.000148184,-0.000038711,-0.000109215
1609059637.010565996,-0.000224407,-0.000209042,-0.000290829
1609059637.063189030,-0.000194870,0.000030676,-0.000165600
1609059637.110161066,-0.000151707,-0.000047262,-0.000118688
1609059637.161779165,-0.000226510,0.000017287,-0.000149732
1609059637.209620953,-0.000247025,0.000102777,0.000010492
1609059637.261206150,-0.000237053,0.000096364,-0.000011438
1609059637.311501026,-0.000321910,-0.000134369,-0.000279075
1609059637.361016035,-0.000163246,-0.000035030,-0.000085652
1609059637.411388159,-0.000215153,0.000010160,-0.000174427
1609059637.461225033,-0.000478317,0.000008074,-0.000090200
1609059637.510848045,-0.000094127,0.000160074,0.000143758
1609059637.562162161,-0.000197377,0.000010465,0.000026897
1609059637.610972166,-0.000343121,-0.000077596,-0.000163758
1609059637.661370993,-0.000330211,-0.000086525,-0.000193147
1609059637.709715128,-0.000300918,-0.000089868,-0.000011167
1609059637.761191130,-0.000296511,-0.000081696,-0.000003335
1609059637.811635971,-0.000334313,-0.000080932,-0.000179421
1609059637.860939026,0.000040950,-0.000041446,-0.000114113
1609059637.911144972,-0.000226601,-0.000229806,-0.000099582
1609059637.961728096,-0.000239224,0.000092597,-0.000014885
1609059638.011242151,-0.000126714,-0.000056084,-0.000162106
1609059638.063555956,-0.000247918,0.000068945,-0.000042326
1609059638.109523058,-0.000192818,0.000022957,-0.000180301
1609059638.161158085,-0.000265001,-0.000155267,-0.000157502
1609059638.212754965,-0.000148981,-0.000054244,-0.000133007
1609059638.259268045,-0.000193080,0.000032512,-0.000164780
1609059638.313444138,-0.000231904,-0.000202312,-0.000049577
1609059638.362504959,-0.000179995,-0.000070511,-0.000122460
1609059638.411596060,-0.000090078,-0.000136484,0.000110284
1609059638.463040113,-0.000157760,-0.000040132,-0.000100221
1609059638.509191990,-0.000327259,-0.000101122,0.000001871
1609059638.562963009,-0.000036576,0.000029671,-0.000131502
1609059638.610638142,-0.000200909,0.000024710,-0.000168001
1609059638.661013126,-0.000281459,-0.000145051,-0.000121897
1609059638.711277962,-0.000104371,-0.000100346,-0.000258835
1609059638.760890007,-0.000153395,-0.000081753,0.000050108
1609059638.812534094,-0.000312084,-0.000163526,-0.000115320
1609059638.862112999,-0.000052144,-0.000194030,-0.000025921
1609059638.909130096,-0.000453897,-0.000257479,-0.000319972
1609059638.961915016,-0.000314512,-0.000148382,-0.000088355
1609059639.009439945,-0.000203153,0.000005107,0.000025152
1609059639.061372042,0.000063068,-0.000086243,-0.000211431
1609059639.109818935,-0.000148522,-0.000051051,0.000093263
1609059639.160401106,-0.000164934,-0.000057714,-0.000119786
1609059639.211658001,-0.000277813,0.000100011,-0.000179458
1609059639.260926962,-0.000176368,-0.000047936,-0.000090779
1609059639.312430143,-0.000285135,0.000067655,-0.000000641
1609059639.361603975,-0.000123768,0.000195209,0.000012806
1609059639.410063028,-0.000250429,-0.000221090,-0.000057702
1609059639.461431980,-0.000182183,-0.000026396,-0.000049650
1609059639.510627985,-0.000176909,-0.000048092,-0.000090391
1609059639.562232018,-0.000042056,0.000065035,-0.000068756
1609059639.611807108,-0.000056498,0.000067335,-0.000048122
